id,state,name,_runtime,_step,_timestamp,_wandb,bias/theta_1,bias/theta_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,l1_lambda,l1_smooth,l2_lambda,in_features,out_features,optimizer_cls,hidden_features,grad_match_loss_fn
iao5rqqi,finished,fiery-sweep-91,102.1902871131897,909,1755901018.879565,{'runtime': 102},-2.2492153644561768,-4.852580547332764,83,0.011881595477461817,10499,3.1878750324249268,0.1,0.0001,0.01,0.01,0.1,0.01,0.0001,10,1,Adam,200,mse_loss
zeet3p1d,finished,comfy-sweep-90,92.16048550605774,516,1755900996.2624335,{'runtime': 92},-8.5346097946167,2.038590431213379,178,0.0033341296948492527,22349,144.1155242919922,0.01,10.0,0.01,1e-06,0.01,1e-06,10.0,10,1,Adam,200,mse_loss
u7u0lixe,finished,icy-sweep-89,57.27035927772522,344,1755900947.6670902,{'runtime': 57},-6.099353313446045,1.9044532775878904,109,0.01688932441174984,13749,144.1153564453125,0.01,10.0,0.01,1e-05,0.01,1e-05,10.0,10,1,Adam,200,mse_loss
u72vkfe9,finished,quiet-sweep-88,58.70111274719238,344,1755900920.2225275,{'runtime': 59},-1.7986273765563965,-1.7979538440704346,109,0.016773760318756104,13749,144.1153106689453,0.01,10.0,0.01,0.0001,0.01,0.0001,10.0,10,1,Adam,200,mse_loss
p1kbjj22,finished,robust-sweep-87,58.17284321784973,344,1755900913.293352,{'runtime': 58},-1.7986485958099363,-1.7979766130447388,109,0.016773764044046402,13749,144.1153106689453,0.01,10.0,0.01,0.001,0.01,0.001,10.0,10,1,Adam,200,mse_loss
dogfqdmu,finished,revived-sweep-86,59.12867188453674,344,1755900912.874071,{'runtime': 59},-1.7996796369552612,-1.7990063428878784,109,0.016773726791143417,13749,144.1152801513672,0.01,10.0,0.01,0.01,0.01,0.01,10.0,10,1,Adam,200,mse_loss
p3zb8rhn,finished,ethereal-sweep-85,80.21679091453552,477,1755900921.833942,{'runtime': 80},-5.71158504486084,0.09062659740447998,154,0.03730662912130356,19349,40.9592399597168,0.01,1.0,0.01,1e-06,0.01,1e-06,1.0,10,1,Adam,200,mse_loss
so4beqi3,finished,deft-sweep-84,80.52779722213745,477,1755900892.488618,{'runtime': 81},-5.3838605880737305,0.08722901344299316,154,0.037271808832883835,19349,40.95905303955078,0.01,1.0,0.01,1e-05,0.01,1e-05,1.0,10,1,Adam,200,mse_loss
c03b40jh,finished,northern-sweep-83,37.49122881889343,242,1755900839.7832668,{'runtime': 38},-3.9713408946990967,0.034951239824295044,60,0.09045469760894775,7599,40.95815658569336,0.01,1.0,0.01,0.0001,0.01,0.0001,1.0,10,1,Adam,200,mse_loss
txre84oh,finished,sage-sweep-82,37.048969745635986,242,1755900834.8007777,{'runtime': 37},-3.9684457778930664,0.03479747474193573,60,0.09044396877288818,7599,40.95003509521485,0.01,1.0,0.01,0.001,0.01,0.001,1.0,10,1,Adam,200,mse_loss
