function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
sine,1,128,0.5,0.1,1,0.003086580336093908,,0.03086580336093908,0.03086580336093908
sine,1,128,0.5,1.0,1,0.0516507625579834,,0.0516507625579834,0.0516507625579834
sine,1,256,0.1,0.0001,1,0.0001873090830282308,,1.873090830282308,1.873090830282308
sine,1,256,0.1,0.001,1,9.211890958249568e-05,,0.09211890958249566,0.09211890958249566
sine,1,256,0.1,0.01,1,0.009473660660441963,,0.9473660660441964,0.9473660660441964
sine,1,256,0.1,0.1,1,0.03608474731445313,,0.3608474731445313,0.3608474731445313
sine,1,256,0.1,1.0,1,0.3825876712799072,,0.3825876712799072,0.3825876712799072
sine,1,256,0.5,0.0001,1,0.002034701004251838,,20.347010042518377,20.347010042518377
sine,1,256,0.5,0.001,1,0.0028754310440272093,,2.8754310440272093,2.8754310440272093
sine,1,256,0.5,0.01,1,0.002014566920697689,,0.20145669206976888,0.20145669206976888
sine,1,256,0.5,0.1,1,0.016217285394668574,,0.16217285394668574,0.16217285394668574
sine,1,256,0.5,1.0,1,1.5954160690307615,,1.5954160690307615,1.5954160690307615
sine,3,64,0.1,0.0001,1,0.0003608546441886574,,3.608546441886574,3.608546441886574
sine,3,64,0.1,0.001,1,0.0019799012914299965,,1.9799012914299965,1.9799012914299965
sine,3,64,0.1,0.01,1,3.947481513023355e-05,,0.003947481513023356,0.003947481513023356
sine,3,64,0.1,0.1,1,0.1962111279368401,,1.9621112793684008,1.9621112793684008
sine,3,64,0.1,1.0,1,0.27093613147735596,,0.27093613147735596,0.27093613147735596
sine,3,64,0.5,0.0001,1,0.003794045948982239,,37.94045948982239,37.94045948982239
sine,3,64,0.5,0.001,1,0.001000775638113737,,1.000775638113737,1.000775638113737
sine,3,64,0.5,0.01,1,0.022063100486993788,,2.2063100486993785,2.2063100486993785
sine,3,64,0.5,0.1,1,0.27061434984207156,,2.7061434984207153,2.7061434984207153
sine,3,64,0.5,1.0,1,0.6396137475967407,,0.6396137475967407,0.6396137475967407
sine,3,128,0.1,0.0001,1,0.0004086080636829138,,4.086080636829138,4.086080636829138
sine,3,128,0.1,0.001,1,0.002681511290371418,,2.681511290371418,2.681511290371418
sine,3,128,0.1,0.01,1,0.006824862435460091,,0.6824862435460091,0.6824862435460091
